Year,Tm,Player,Age,G,Puntos,Rebotes,Asist,Robos,Bloqueos
1978,ATL,Armond Hill,24,82,2054,272,388,20,2
1978,CHI,Norm Van Lier,30,78,1535,217,544,66,25
1978,CLE,Campy Russell,26,72,1452,131,692,97,11
1978,PHI,Henry Bibby,28,82,1963,146,223,151,27
1978,CLE,Foots Walker,26,81,1236,133,590,200,3
1978,PHO,Paul Westphal,27,80,1718,181,492,196,21
1978,SAS,Billy Paultz,29,80,1789,286,636,177,18
1978,HOU,Dwight Jones,25,82,2122,239,349,72,17
1978,DEN,Bobby Jones,26,75,1127,70,352,28,14
1978,PHI,Julius Erving,27,74,1068,62,325,74,23
1978,IND,Dan Roundfield,24,79,2373,63,599,53,25
1978,MIL,Dave Meyers,24,80,1807,149,317,39,16
1978,BOS,Sidney Wicks,28,81,1453,234,494,29,13
1978,NJN,George Johnson,29,81,1125,238,595,26,29
1978,NYK,Earl Monroe,33,76,1568,71,232,41,19
1978,MIL,John Gianelli,27,82,1824,155,128,168,8
1978,ATL,Steve Hawes,27,75,1995,90,411,58,29
1978,NYK,Lonnie Shelton,22,82,1521,239,260,73,10
1978,WSB,Tom Henderson,26,75,1342,274,638,171,7
1978,DET,Bob Lanier,29,63,1125,242,114,172,30
1978,LAL,Lou Hudson,33,82,1075,280,197,70,14
1978,GSW,Clifford Ray,29,79,1006,210,207,76,4
1978,LAL,Kareem Abdul-Jabbar,30,62,2206,131,424,187,5
1978,BOS,Dave Bing,34,80,1780,53,689,39,22
1978,SEA,Jack Sikma,22,82,2338,163,611,70,30
1978,KCK,Richard Washington,22,78,2224,216,637,171,10
1978,SEA,Dennis Johnson,23,81,1996,230,121,161,7
1978,ATL,John Drew,23,70,1980,221,360,84,4
1978,POR,Johnny Davis,22,82,1188,147,472,159,6
1978,CLE,Austin Carr,29,82,2184,226,528,178,15
1978,SEA,Paul Silas,34,82,2003,243,629,125,9
1978,DET,John Shumate,25,62,1430,211,635,198,25
1978,POR,Bob Gross,24,72,2353,287,577,108,20
1978,BUF,Billy Knight,25,53,1932,136,645,183,20
1978,HOU,Kevin Kunnert,26,80,1233,218,526,161,7
1978,KCK,Lucius Allen,30,77,1816,167,563,174,14
1978,KCK,Sam Lacey,29,77,1513,286,419,76,10
1978,WSB,Kevin Grevey,24,81,1081,186,584,88,1
1978,NOJ,Rich Kelley,24,82,1101,177,597,49,4
1978,POR,Maurice Lucas,25,68,1499,217,363,31,4
1978,NOJ,Aaron James,25,80,1674,290,169,102,14
1978,HOU,Moses Malone,22,59,1063,256,406,152,2
1978,PHO,Gar Heard,29,80,1840,182,295,48,7
1978,SAS,Mike Gale,27,70,1386,283,299,177,16
1978,MIL,Quinn Buckner,23,82,2320,255,561,47,25
1978,GSW,Sonny Parker,22,82,1494,250,514,44,1
1978,PHI,World B. Free,24,76,1205,106,473,171,13
1978,NOJ,Pete Maravich,30,50,1602,116,520,147,15
1978,SAS,Louie Dampier,33,82,2015,115,290,112,6
1978,NYK,Jim Cleamons,28,79,2308,140,532,181,9
1978,BUF,Chuck Williams,31,73,1773,189,373,168,5
1978,CLE,Elmore Smith,28,81,2369,295,331,118,25
1978,DET,Leon Douglas,23,79,1427,144,573,151,23
1978,LAL,Adrian Dantley,21,56,2375,187,248,35,18
1978,NYK,Butch Beard,30,79,1943,169,398,123,10
1978,NYK,Jim McMillian,29,81,1689,199,360,144,27
1978,GSW,Robert Parish,24,82,1017,80,136,123,29
1978,SEA,Fred Brown,29,72,2264,193,284,147,13
1978,LAL,Don Ford,25,79,1873,150,276,80,10
1978,ATL,Charlie Criss,29,77,2327,165,583,163,10
1978,POR,Bill Walton,25,58,1433,310,478,59,22
1978,PHO,Ron Lee,25,82,1147,208,223,75,13
1978,PHO,Alvan Adams,23,70,2023,159,675,78,24
1978,KCK,Otis Birdsong,22,73,2148,151,367,185,8
1978,MIL,Junior Bridgeman,24,82,2028,191,110,32,19
1978,SAS,Coby Dietrick,29,79,2037,100,253,122,6
1978,ATL,Eddie Johnson,22,79,1718,137,226,127,25
1978,IND,Earl Tatum,24,57,2301,268,272,42,20
1978,NOJ,Paul Griffin,24,82,1030,274,138,83,14
1978,HOU,Robert Reid,22,80,2046,216,244,188,30
1978,POR,Dave Twardzik,27,75,1258,83,316,195,29
1978,PHI,Steve Mix,30,82,1989,289,566,180,14
1978,SEA,John Johnson,30,76,2114,73,631,186,20
1978,CHI,Scott May,23,55,1021,129,330,53,7
1978,GSW,E.C. Coleman,27,72,1059,222,304,40,21
1978,CLE,Jim Brewer,26,80,1658,289,143,188,15
1978,ATL,Tree Rollins,22,80,1973,229,337,82,19
1978,SAS,Mark Olberding,21,79,2151,236,458,186,2
1978,CHI,John Mengelt,28,81,1763,243,143,24,7
1978,NYK,Spencer Haywood,28,67,2318,52,555,50,13
1978,NOJ,Jim McElroy,24,74,1787,207,378,115,17
1978,WSB,Mitch Kupchak,23,67,1346,189,246,133,7
1978,KCK,Bill Robinzine,25,82,1994,59,176,84,21
1978,PHI,Darryl Dawkins,21,70,1941,96,438,165,11
1978,POR,Tom Owens,28,82,2379,144,313,83,12
1978,BUF,Wil Jones,30,79,1737,275,431,159,30
1978,ATL,Ollie Johnson,28,82,1334,270,173,152,22
1978,ATL,Tom McMillen,25,68,1614,286,394,171,21
1978,IND,James Edwards,22,58,1273,299,448,52,9
1978,CLE,Walt Frazier,32,51,1967,161,113,113,5
1978,GSW,Charles Dudley,27,78,1747,298,470,183,8
1978,BOS,Jo Jo White,31,46,2048,157,128,151,22
1978,PHI,Caldwell Jones,27,80,1907,222,268,154,28
1978,PHO,Dennis Awtrey,29,81,2394,302,202,36,2
1978,DEN,Anthony Roberts,22,82,1262,243,695,63,18
1978,ATL,John Brown,26,75,1907,60,553,79,7
1978,CLE,Bingo Smith,31,82,1812,118,408,26,7
1978,MIL,Alex English,24,82,2075,177,171,111,11
1978,NYK,Ray Williams,23,81,1051,149,357,33,1
1978,PHO,Alvin Scott,22,81,1870,228,643,111,20
1978,KCK,Tom Burleson,25,76,1840,66,248,183,19
1978,LAL,Jamaal Wilkes,24,51,2389,301,321,69,9
1978,SAS,Allan Bristow,26,82,1637,100,166,96,27
1978,NJN,Tim Bassett,26,65,2089,77,378,153,8
1978,WSB,Larry Wright,23,70,2007,271,250,154,3
1978,IND,John Williamson,26,42,1377,109,612,58,14
1978,NJN,Jan Van Breda Kolff,26,68,1163,103,246,160,29
1978,LAL,Charlie Scott,29,48,1714,168,631,29,28
1978,BUF,Marvin Barnes,25,48,2277,158,614,104,7
1978,POR,Corky Calhoun,27,79,1413,313,492,98,8
1978,IND,Len Elmore,25,69,1879,219,601,55,6
1978,SEA,Bruce Seals,24,73,1702,277,236,196,3
1978,LAL,Tom Abernethy,23,73,2362,232,647,191,25
1978,MIL,Kent Benson,23,69,2175,198,225,117,13
1978,NJN,John Williamson,26,33,2224,226,265,82,7
1978,NOJ,Joe Meriweather,24,54,2074,78,127,160,19
1978,DET,Al Skinner,25,69,1345,255,116,169,1
1978,MIL,Lloyd Walton,24,76,1351,202,217,178,7
1978,MIL,Ernie Grunfeld,22,73,1616,181,123,58,17
1978,PHI,Joe Bryant,23,81,1678,221,604,48,25
1978,DEN,Brian Taylor,26,39,1615,263,532,106,8
1978,NJN,Darnell Hillman,28,45,1496,155,333,142,20
1978,NJN,Howard Porter,29,55,1441,114,673,49,29
1978,KCK,John Kuester,22,78,1486,194,103,50,22
1978,DEN,Bo Ellis,23,78,1437,146,125,168,27
1978,BOS,Cedric Maxwell,22,72,2004,127,155,125,26
1978,HOU,Mike Newlin,29,45,1301,230,647,39,1
1978,POR,Lloyd Neal,27,61,1260,169,647,121,14
1978,NYK,Toby Knight,22,80,1366,107,171,28,10
1978,HOU,Ed Ratleff,27,68,1145,150,461,96,26
1978,BOS,Tom Boswell,24,65,1764,196,168,56,1
1978,SAS,Mike Green,26,63,1372,160,641,182,9
1978,POR,Larry Steele,28,65,1532,188,341,70,10
1978,IND,Ron Behagen,27,51,1273,303,134,75,18
1978,GSW,Rickey Green,23,76,1232,113,389,153,6
1978,DEN,Jim Price,28,49,1759,103,405,134,21
1978,BOS,Charlie Scott,29,31,1490,67,570,70,26
1978,BUF,Bill Willoughby,20,56,2231,119,204,63,1
1978,CLE,John Lambert,25,76,1107,128,331,127,16
1978,NJN,Eddie Jordan,23,51,1794,217,121,65,22
1978,NJN,Bob Carrington,24,37,1669,273,519,112,2
1978,NYK,Glen Gondrezick,22,72,1167,232,435,65,18
1978,BOS,Kevin Stacom,26,55,2024,299,344,28,9
1978,SEA,Wally Walker,23,68,2072,158,103,60,27
1978,DEN,Mack Calvin,30,77,1321,285,554,101,29
1978,IND,Mike Flynn,24,71,1545,51,593,23,8
1978,IND,Adrian Dantley,21,23,2046,79,519,130,28
1978,BUF,Mike Glenn,22,56,1999,52,395,179,28
1978,WSB,Phil Chenier,27,36,1297,142,219,93,19
1978,WSB,Greg Ballard,23,76,1224,306,345,148,10
1978,PHO,Mike Bratz,22,80,1496,300,331,175,8
1978,ATL,Tony Robertson,22,63,1363,92,319,135,15
1978,CHI,Mark Landsberger,22,62,1004,282,383,135,20
1978,BOS,Curtis Rowe,28,51,1359,226,526,171,20
1978,PHO,Bayard Forrest,23,64,2026,302,235,42,13
1978,BUF,Larry McNeill,27,37,1276,101,107,162,19
1978,DEN,Tom LaGarde,22,77,1688,238,166,162,6
1978,BOS,Kermit Washington,26,32,2073,166,618,39,22
1978,NJN,Kim Hughes,25,56,1674,238,675,72,18
1978,GSW,Ricky Marsh,23,60,1609,171,560,121,18
1978,HOU,Rudy Tomjanovich,29,23,2211,205,240,179,3
1978,DET,Jim Price,28,34,1685,250,211,171,18
1978,CLE,Terry Furlow,23,53,1151,139,675,116,30
1978,PHO,Curtis Perry,29,45,1917,272,369,99,28
1978,GSW,Nate Williams,27,46,1356,133,230,132,27
1978,SEA,Slick Watts,26,32,2330,153,431,165,14
1978,WSB,Charles Johnson,28,39,1461,281,171,118,22
1978,DET,Gus Gerard,24,47,1428,138,262,32,16
1978,KCK,Bob Nash,27,66,2045,234,594,194,16
1978,HOU,Alonzo Bradley,24,43,2260,272,400,199,20
1978,CHI,Cazzie Russell,33,36,2365,239,315,173,7
1978,NOJ,Slick Watts,26,39,1729,220,214,23,26
1978,POR,T.R. Dunn,22,63,1377,175,466,156,18
1978,LAL,Kermit Washington,26,25,1082,127,114,56,4
1978,PHI,Harvey Catchings,26,61,1799,308,458,179,17
1978,DEN,Darnell Hillman,28,33,2004,232,134,64,3
1978,DET,Ralph Simpson,28,32,2276,104,299,175,10
1978,LAL,Kenny Carr,22,52,1687,101,393,36,15
1978,BUF,Ted McClain,31,41,1714,138,556,47,18
1978,LAL,James Edwards,22,25,1266,121,561,108,27
1978,CHI,Tate Armstrong,22,66,2340,75,280,159,20
1978,BOS,Don Chaney,31,42,1206,130,699,172,5
1978,CHI,Steve Sheppard,23,64,2360,71,228,30,8
1978,BUF,Jim McDaniels,29,42,1607,116,540,74,11
1978,LAL,Dave Robisch,28,55,1662,242,272,131,30
1978,BUF,Bird Averitt,25,34,2014,144,157,176,14
1978,LAL,Earl Tatum,24,25,2391,170,173,88,3
1978,CLE,Dick Snyder,33,58,2345,88,353,75,15
1978,NYK,Phil Jackson,32,63,1875,226,434,57,21
1978,HOU,C.J. Kupec,25,49,1034,296,396,178,14
1978,DET,Ben Poquette,22,52,1689,54,453,198,1
1978,IND,Bob Carrington,24,35,2043,266,114,91,24
1978,CHI,Nick Weatherspoon,27,41,1767,244,654,53,25
1978,IND,Dave Robisch,28,23,1150,195,668,110,30
1978,BUF,John Shumate,25,18,1848,254,700,194,4
1978,DEN,Ralph Simpson,28,32,2146,57,451,41,12
1978,DET,Al Eberhard,25,37,1053,295,103,157,10
1978,ATL,Ron Behagen,27,26,2088,224,100,112,28
1978,BUF,Scott Lloyd,25,56,1298,176,188,188,8
1978,CHI,Cliff Pondexter,23,44,1291,283,289,196,14
1978,NJN,Wilson Washington,22,24,1544,136,346,20,21
1978,ATL,Ken Charles,26,21,2214,282,420,112,19
1978,SAS,Mo Layton,29,41,1030,238,392,176,3
1978,GSW,Charles Johnson,28,32,1147,230,165,182,2
1978,KCK,Kevin Restani,26,46,2299,109,418,40,27
1978,GSW,Wesley Cox,23,43,1162,138,671,155,8
1978,NOJ,Gus Bailey,26,48,1892,198,341,51,15
1978,IND,Steve Green,24,44,1951,171,413,180,21
1978,WSB,Joe Pace,24,49,1810,135,191,93,8
1978,NOJ,Nate Williams,27,27,1690,127,348,62,2
1978,PHO,Greg Griffin,25,36,1399,94,282,53,19
1978,NJN,Bird Averitt,25,21,1995,308,241,163,17
1978,SEA,Joe Hassett,22,48,1303,214,678,174,9
1978,NOJ,Fred Saunders,26,30,2173,269,171,78,27
1978,WSB,Phil Walker,21,40,1050,210,395,81,10
1978,DEN,Robert Smith,22,45,1675,143,319,82,4
1978,NOJ,Freddie Boyd,27,21,1704,253,209,27,10
1978,NJN,Louie Nelson,26,25,1841,166,652,24,4
1978,POR,Willie Norwood,30,19,1946,154,307,200,29
1978,NJN,Robert Hawkins,23,15,2149,151,102,153,25
1978,LAL,Brad Davis,22,33,1111,211,680,106,14
1978,LAL,Ernie DiGregorio,27,25,2238,187,132,31,25
1978,SAS,James Silas,28,37,2202,99,648,122,21
1978,PHI,Ted McClain,31,29,2275,273,299,175,12
1978,IND,Mel Bennett,23,31,1155,175,326,101,16
1978,NJN,Al Skinner,25,8,2377,277,539,91,6
1978,BOS,Ernie DiGregorio,27,27,1307,216,124,25,14
1978,GSW,Derrek Dickey,26,22,1210,283,164,195,27
1978,DET,Marvin Barnes,25,12,2147,248,304,93,1
1978,DET,Willie Norwood,30,16,2091,158,153,120,20
1978,SAS,Jim Eakins,31,16,1566,180,688,75,1
1978,SEA,Mike Green,26,9,1494,50,653,172,13
1978,BOS,Fred Saunders,26,26,1530,302,242,137,11
1978,CHI,Tom Boerwinkle,32,22,2267,119,555,52,11
1978,CHI,Derrek Dickey,26,25,2276,282,509,73,28
1978,HOU,Rudy White,24,21,1105,85,624,111,23
1978,IND,Johnny Neumann,26,20,1028,189,518,22,12
1978,CLE,Eddie Jordan,23,22,2006,80,125,185,15
1978,ATL,Claude Terry,28,27,1703,274,191,105,17
1978,MIL,Jim Eakins,31,17,1917,239,656,111,21
1978,NJN,Mark Crow,23,15,1549,231,136,171,25
1978,HOU,Zaid Abdul-Aziz,31,14,1363,207,485,186,15
1978,LAL,Don Chaney,31,9,2025,212,435,125,12
1978,BUF,Gary Brokaw,24,13,1627,250,224,138,10
1978,DET,Kevin Porter,27,8,1114,287,438,137,4
1978,NJN,Dave Wohl,28,10,2120,121,204,137,8
1978,CHI,Jim Ard,29,14,1965,312,247,178,8
1978,MIL,Scott Lloyd,25,14,2073,192,375,137,9
1978,HOU,Larry Moffett,23,20,1807,51,582,137,3
1978,POR,Dale Schlueter,32,10,1533,260,197,149,14
1978,DET,Howard Porter,29,8,1831,54,630,135,6
1978,HOU,Mike Dunleavy,23,11,1015,293,553,137,8
1978,POR,Wally Walker,23,9,1620,97,237,99,17
1978,SEA,Al Fleming,23,20,1257,306,155,60,14
1978,SAS,Scott Sims,22,12,2233,81,466,190,28
1978,IND,Bobby Wilson,27,12,1595,69,616,77,17
1978,BUF,Gus Gerard,24,10,1989,272,309,52,12
1978,MIL,Kevin Restani,26,8,1100,218,469,107,13
1978,GSW,Larry McNeill,27,9,1564,287,690,125,10
1978,HOU,Robin Jones,23,12,1767,144,567,93,11
1978,BUF,Eddie Owens,24,8,1516,121,392,52,17
1978,MIL,Rich Laurel,23,10,2301,144,401,99,3
1978,KCK,Louie Nelson,26,8,1126,265,174,144,1
1978,POR,Jacky Dorsey,23,4,2183,225,382,122,19
1978,DET,Jim Bostic,25,4,1198,140,189,85,15
1978,PHI,Wilson Washington,22,14,1842,199,165,183,14
1978,BUF,Larry Johnson,23,4,1765,59,599,193,7
1978,DEN,Jacky Dorsey,23,7,1688,195,214,96,23
1978,HOU,Ron Behagen,27,3,2307,163,679,138,6
1978,SAS,George Karl,26,4,2349,97,524,31,27
1978,BOS,Zaid Abdul-Aziz,31,2,1352,100,290,103,26
1978,PHI,Glenn Mosley,22,6,1139,208,396,129,27
1978,HOU,Phil Bond,23,7,2079,116,438,57,27
1978,PHI,Mike Dunleavy,23,4,2273,209,555,29,7
1978,BOS,Bob Bigelow,24,4,1780,229,247,109,11
1978,DET,Wayman Britt,25,7,1111,59,449,68,26
1978,NYK,Ticky Burden,24,2,1804,58,202,24,22
1978,BOS,Steve Kuberski,30,3,1468,137,478,67,5
1978,HOU,John Johnson,30,1,1642,57,659,82,10
1978,SEA,Willie Wise,30,2,1695,258,632,148,18
1978,DEN,Norm Cook,22,2,1192,253,399,70,12
1978,KCK,Andre McCarter,24,1,2349,171,131,154,14
1978,KCK,Glenn Hansen,25,3,1659,257,168,29,9
1978,BOS,Jim Ard,29,1,1080,251,583,193,27
1978,SEA,Dean Tolson,26,1,1459,152,171,190,21
1978,KCK,Bob Bigelow,24,1,1534,295,112,55,8
1978,IND,Willie Smith,24,1,1326,272,139,111,23
1978,CHI,Glenn Hansen,25,2,1417,163,168,129,18
1979,HOU,Moses Malone,23,82,2108,283,598,189,5
1979,CHI,Artis Gilmore,29,82,1946,286,653,106,10
1979,DET,M.L. Carr,28,80,2178,52,345,44,18
1979,LAL,Kareem Abdul-Jabbar,31,80,1629,311,693,31,4
1979,LAL,Norm Nixon,23,82,1152,254,518,159,29
1979,SDC,Randy Smith,30,82,2114,242,206,34,25
1979,WSB,Elvin Hayes,33,82,1984,125,548,78,17
1979,GSW,John Lucas,25,82,1154,234,247,126,29
1979,DET,Kevin Porter,28,82,1620,218,235,84,2
1979,IND,Johnny Davis,23,79,1915,227,444,196,16
1979,BOS,Cedric Maxwell,23,80,2356,209,143,60,4
1979,SEA,Jack Sikma,23,82,1405,151,296,126,27
1979,SDC,World B. Free,25,78,1496,77,238,173,30
1979,SAS,Larry Kenon,26,81,1544,223,108,155,28
1979,HOU,Calvin Murphy,30,82,1879,287,256,180,13
1979,LAL,Jamaal Wilkes,25,82,2212,262,649,50,20
1979,GSW,Sonny Parker,23,79,1058,126,610,200,4
1979,SAS,George Gervin,26,80,1353,228,595,153,11
1979,NJN,Bernard King,22,82,1211,259,308,64,1
1979,CLE,Campy Russell,27,74,1873,195,670,185,29
1979,CLE,Jim Chones,29,82,1114,118,695,102,29
1979,KCK,Otis Birdsong,23,82,1082,282,680,129,8
1979,IND,Ricky Sobers,26,81,1259,313,698,145,24
1979,PHI,Julius Erving,28,78,2320,69,318,191,16
1979,POR,Tom Owens,29,82,1892,200,360,131,5
1979,MIL,Marques Johnson,22,77,1709,185,199,68,23
1979,SDC,Kermit Washington,27,82,1051,271,487,43,23
1979,CHI,Reggie Theus,21,82,1170,63,649,145,26
1979,DEN,Dan Issel,30,81,1815,212,426,155,19
1979,KCK,Phil Ford,22,79,2077,307,540,84,6
1979,SEA,Dennis Johnson,24,80,1586,146,562,58,3
1979,CLE,Austin Carr,30,82,1287,214,405,60,5
1979,NOJ,Rich Kelley,25,80,1004,251,356,39,12
1979,NOJ,Jim McElroy,25,79,2129,228,191,45,24
1979,IND,Alex English,25,81,1667,160,107,78,11
1979,DEN,David Thompson,24,76,1867,135,345,145,30
1979,NYK,Toby Knight,23,82,1263,91,506,149,9
1979,SDC,Nick Weatherspoon,28,82,2306,66,247,48,22
1979,HOU,Rudy Tomjanovich,30,74,1655,91,642,164,28
1979,PHO,Paul Westphal,28,81,1570,91,212,33,24
1979,WSB,Bob Dandridge,31,78,2063,117,202,177,7
1979,BOS,Chris Ford,30,78,1113,177,370,149,30
1979,KCK,Sam Lacey,30,82,2183,209,416,195,17
1979,DEN,Charlie Scott,30,79,1778,273,247,23,22
1979,CHI,Mickey Johnson,26,82,1758,173,690,200,16
1979,MIL,Brian Winters,26,79,2344,68,241,187,4
1979,HOU,Rick Barry,34,80,2148,275,300,46,23
1979,DET,Terry Tyler,22,82,2044,225,575,104,7
1979,DEN,George McGinnis,28,76,1682,242,158,183,22
1979,IND,James Edwards,23,82,1572,305,254,32,4
1979,PHO,Don Buse,28,82,2265,89,667,26,11
1979,ATL,Dan Roundfield,25,80,1475,150,650,187,11
1979,PHI,Henry Bibby,29,82,1947,256,113,114,2
1979,IND,Mike Bantom,27,81,2370,230,330,46,9
1979,ATL,Armond Hill,25,82,1914,103,323,174,21
1979,BOS,Dave Cowens,30,68,1769,184,669,153,14
1979,DET,John Long,22,82,2103,92,625,176,6
1979,KCK,Scott Wedman,26,73,2281,60,360,181,9
1979,CHI,Wilbur Holland,27,82,2201,233,551,117,15
1979,POR,Maurice Lucas,26,69,2335,236,205,93,5
1979,POR,Ron Brewer,23,81,1477,242,405,184,11
1979,NJN,John Williamson,27,74,2054,113,255,163,12
1979,PHO,Walter Davis,24,79,1889,274,219,154,15
1979,DEN,Bob Wilkerson,24,80,1919,257,108,85,18
1979,ATL,Eddie Johnson,23,78,2397,255,240,31,8
1979,GSW,Robert Parish,25,76,1230,280,650,89,23
1979,ATL,John Drew,24,79,1545,122,342,84,14
1979,PHI,Maurice Cheeks,22,82,2395,104,123,25,15
1979,WSB,Wes Unseld,32,77,1234,304,306,86,11
1979,NYK,Jim Cleamons,29,79,2343,112,242,129,29
1979,SEA,John Johnson,31,82,1177,216,455,185,4
1979,NYK,Ray Williams,24,81,1919,141,481,73,9
1979,PHO,Alvan Adams,24,77,1656,313,132,39,12
1979,PHI,Bobby Jones,27,80,1900,196,607,66,24
1979,GSW,Phil Smith,26,59,2079,157,444,91,16
1979,SEA,Gus Williams,25,76,1688,81,568,183,10
1979,NJN,Eddie Jordan,24,82,1605,107,472,76,11
1979,HOU,Robert Reid,23,82,1902,261,646,146,2
1979,DET,Leon Douglas,24,78,2359,159,283,170,1
1979,ATL,Steve Hawes,28,81,2062,118,212,51,1
1979,DEN,Tom Boswell,25,79,2162,257,551,141,7
1979,KCK,Bill Robinzine,26,82,1893,196,269,193,5
1979,PHI,Caldwell Jones,28,78,1151,159,182,68,23
1979,SAS,James Silas,29,79,1484,157,179,150,4
1979,SEA,Lonnie Shelton,23,76,1665,68,117,55,6
1979,POR,Mychal Thompson,24,73,1271,236,435,41,25
1979,MIL,Kent Benson,24,82,2225,288,580,130,25
1979,NOJ,Gail Goodrich,35,74,1778,231,651,83,30
1979,SAS,Billy Paultz,30,79,2193,280,413,183,23
1979,SAS,Mike Gale,28,82,1193,272,395,160,26
1979,WSB,Tom Henderson,27,70,1544,229,635,158,10
1979,NJN,George Johnson,30,78,1874,147,227,31,27
1979,MIL,John Gianelli,28,82,2144,223,584,99,9
1979,PHI,Darryl Dawkins,22,78,1247,67,280,154,6
1979,NYK,Marvin Webster,26,60,1269,80,457,117,12
1979,SDC,Sidney Wicks,29,79,2008,118,608,147,21
1979,SDC,Swen Nater,29,79,1966,207,107,138,20
1979,NJN,Jan Van Breda Kolff,27,80,1714,83,588,153,12
1979,POR,Lionel Hollins,25,64,1657,204,230,175,15
1979,MIL,Junior Bridgeman,25,82,1116,155,620,152,19
1979,SEA,Fred Brown,30,77,2286,299,679,93,14
1979,CHI,Mark Landsberger,23,80,1608,82,134,76,17
1979,SEA,Paul Silas,35,82,1964,81,569,193,9
1979,GSW,Clifford Ray,30,82,2260,79,467,48,23
1979,ATL,Tree Rollins,23,81,1195,280,500,145,22
1979,SAS,Mark Olberding,22,80,1331,310,375,29,7
1979,WSB,Kevin Grevey,25,65,2111,238,550,94,28
1979,DET,Bob Lanier,30,53,1965,261,187,46,7
1979,POR,T.R. Dunn,23,80,1416,63,640,127,9
1979,HOU,Mike Newlin,30,76,1234,147,422,30,11
1979,NOJ,Pete Maravich,31,49,1484,305,567,122,28
1979,WSB,Charles Johnson,29,82,1967,188,249,43,5
1979,NOJ,Truck Robinson,27,43,1249,189,138,147,15
1979,MIL,Ernie Grunfeld,23,82,2255,305,413,163,8
1979,LAL,Adrian Dantley,22,60,1501,282,351,70,14
1979,MIL,Quinn Buckner,24,81,1656,284,188,64,22
1979,CLE,Foots Walker,27,55,1828,200,348,138,19
1979,PHO,Alvin Scott,23,81,2387,60,273,151,23
1979,CHI,Ollie Johnson,29,71,2260,96,667,189,3
1979,CHI,John Mengelt,29,75,1764,100,690,114,14
1979,GSW,Purvis Short,21,75,1421,148,351,127,17
1979,LAL,Lou Hudson,34,78,1689,187,346,40,2
1979,SDC,Kevin Kunnert,27,81,1266,137,610,93,22
1979,BOS,Tiny Archibald,30,69,1007,302,372,143,7
1979,WSB,Larry Wright,24,73,2142,157,333,50,5
1979,CLE,Bingo Smith,32,72,2351,166,406,175,1
1979,SAS,Mike Green,27,76,1033,77,246,49,16
1979,KCK,Darnell Hillman,29,78,1947,289,168,116,11
1979,WSB,Mitch Kupchak,24,66,1467,184,431,59,24
1979,NYK,Glen Gondrezick,23,75,1264,59,265,119,5
1979,MIL,Kevin Restani,27,81,1310,184,117,107,29
1979,PHI,Doug Collins,27,47,1917,153,297,53,9
1979,NYK,Bob McAdoo,27,40,2281,218,665,71,22
1979,LAL,Ron Boone,32,82,1154,50,212,77,14
1979,CLE,Mike Mitchell,23,80,1555,161,522,75,6
